nuevos_fallecidos	nuevos_fallecidos_confirmados	nuevos_fallecidos_probables	fecha	total_fallecidos	total_fallecidos_confirmados	total_fallecidos_probables	nuevos_fallecidos_semanales	nuevos_fallecidos_semanales_confirmados	nuevos_fallecidos_semanales_probables
1	0	1	2020-03-16	1	0	1			
1	0	1	2020-03-18	2	0	2			
1	1	0	2020-03-19	3	1	2			
2	1	1	2020-03-20	5	2	3			
2	1	1	2020-03-21	7	3	4			
1	0	1	2020-03-22	8	3	5			
1	1	0	2020-03-23	9	4	5	8	4	4
2	0	2	2020-03-24	11	4	7			
1	1	0	2020-03-25	12	5	7	10	5	5
2	1	1	2020-03-26	14	6	8	11	5	6
3	1	2	2020-03-27	17	7	10	12	5	7
5	1	4	2020-03-28	22	8	14	15	5	10
5	1	4	2020-03-29	27	9	18	19	6	13
7	3	4	2020-03-30	34	12	22	25	8	17
7	5	2	2020-03-31	41	17	24	30	13	17
6	1	5	2020-04-01	47	18	29	35	13	22
10	6	4	2020-04-02	57	24	33	43	18	25
11	7	4	2020-04-03	68	31	37	51	24	27
14	8	6	2020-04-04	82	39	43	60	31	29
9	1	8	2020-04-05	91	40	51	64	31	33
15	6	9	2020-04-06	106	46	60	72	34	38
15	6	9	2020-04-07	121	52	69	80	35	45
16	11	5	2020-04-08	137	63	74	90	45	45
11	9	2	2020-04-09	148	72	76	91	48	43
11	7	4	2020-04-10	159	79	80	91	48	43
14	8	6	2020-04-11	173	87	86	91	48	43
7	4	3	2020-04-12	180	91	89	89	51	38
12	10	2	2020-04-13	192	101	91	86	55	31
14	4	10	2020-04-14	206	105	101	85	53	32
17	11	6	2020-04-15	223	116	107	86	53	33
11	8	3	2020-04-16	234	124	110	86	52	34
8	6	2	2020-04-17	242	130	112	83	51	32
15	7	8	2020-04-18	257	137	120	84	50	34
21	10	11	2020-04-19	278	147	131	98	56	42
14	10	4	2020-04-20	292	157	135	100	56	44
19	11	8	2020-04-21	311	168	143	105	63	42
12	5	7	2020-04-22	323	173	150	100	57	43
15	8	7	2020-04-23	338	181	157	104	57	47
15	9	6	2020-04-24	353	190	163	111	60	51
18	7	11	2020-04-25	371	197	174	114	60	54
19	13	6	2020-04-26	390	210	180	112	63	49
23	14	9	2020-04-27	413	224	189	121	67	54
22	9	13	2020-04-28	435	233	202	124	65	59
16	9	7	2020-04-29	451	242	209	128	69	59
19	13	6	2020-04-30	470	255	215	132	74	58
22	11	11	2020-05-01	492	266	226	139	76	63
19	9	10	2020-05-02	511	275	236	140	78	62
31	19	12	2020-05-03	542	294	248	152	84	68
19	15	4	2020-05-04	561	309	252	148	85	63
20	15	5	2020-05-05	581	324	257	146	91	55
30	22	8	2020-05-06	611	346	265	160	104	56
39	32	7	2020-05-07	650	378	272	180	123	57
34	19	15	2020-05-08	684	397	287	192	131	61
49	34	15	2020-05-09	733	431	302	222	156	66
48	33	15	2020-05-10	781	464	317	239	170	69
41	25	16	2020-05-11	822	489	333	261	180	81
42	32	10	2020-05-12	864	521	343	283	197	86
59	41	18	2020-05-13	923	562	361	312	216	96
68	43	25	2020-05-14	991	605	386	341	227	114
53	43	10	2020-05-15	1044	648	396	360	251	109
81	61	20	2020-05-16	1125	709	416	392	278	114
82	56	26	2020-05-17	1207	765	442	426	301	125
96	75	21	2020-05-18	1303	840	463	481	351	130
90	73	17	2020-05-19	1393	913	480	529	392	137
104	81	23	2020-05-20	1497	994	503	574	432	142
113	78	35	2020-05-21	1610	1072	538	619	467	152
111	83	28	2020-05-22	1721	1155	566	677	507	170
143	108	35	2020-05-23	1864	1263	601	739	554	185
157	119	38	2020-05-24	2021	1382	639	814	617	197
141	100	41	2020-05-25	2162	1482	680	859	642	217
167	118	49	2020-05-26	2329	1600	729	936	687	249
191	140	51	2020-05-27	2520	1740	780	1023	746	277
169	129	40	2020-05-28	2689	1869	820	1079	797	282
193	141	52	2020-05-29	2882	2010	872	1161	855	306
194	150	44	2020-05-30	3076	2160	916	1212	897	315
189	131	58	2020-05-31	3265	2291	974	1244	909	335
216	158	58	2020-06-01	3481	2449	1032	1319	967	352
214	157	57	2020-06-02	3695	2606	1089	1366	1006	360
239	167	72	2020-06-03	3934	2773	1161	1414	1033	381
212	165	47	2020-06-04	4146	2938	1208	1457	1069	388
246	171	75	2020-06-05	4392	3109	1283	1510	1099	411
250	178	72	2020-06-06	4642	3287	1355	1566	1127	439
231	164	67	2020-06-07	4873	3451	1422	1608	1160	448
225	155	70	2020-06-08	5098	3606	1492	1617	1157	460
262	187	75	2020-06-09	5360	3793	1567	1665	1187	478
244	176	68	2020-06-10	5604	3969	1635	1670	1196	474
255	187	68	2020-06-11	5859	4156	1703	1713	1218	495
240	183	57	2020-06-12	6099	4339	1760	1707	1230	477
254	195	59	2020-06-13	6353	4534	1819	1711	1247	464
234	176	58	2020-06-14	6587	4710	1877	1714	1259	455
256	170	86	2020-06-15	6843	4880	1963	1745	1274	471
249	188	61	2020-06-16	7092	5068	2024	1732	1275	457
243	188	55	2020-06-17	7335	5256	2079	1731	1287	444
197	140	57	2020-06-18	7532	5396	2136	1673	1240	433
222	167	55	2020-06-19	7754	5563	2191	1655	1224	431
197	149	48	2020-06-20	7951	5712	2239	1598	1178	420
209	149	60	2020-06-21	8160	5861	2299	1573	1151	422
195	140	55	2020-06-22	8355	6001	2354	1512	1121	391
185	139	46	2020-06-23	8540	6140	2400	1448	1072	376
192	137	55	2020-06-24	8732	6277	2455	1397	1021	376
181	138	43	2020-06-25	8913	6415	2498	1381	1019	362
185	139	46	2020-06-26	9098	6554	2544	1344	991	353
164	125	39	2020-06-27	9262	6679	2583	1311	967	344
183	134	49	2020-06-28	9445	6813	2632	1285	952	333
160	123	37	2020-06-29	9605	6936	2669	1250	935	315
157	124	33	2020-06-30	9762	7060	2702	1222	920	302
147	112	35	2020-07-01	9909	7172	2737	1177	895	282
171	132	39	2020-07-02	10080	7304	2776	1167	889	278
167	129	38	2020-07-03	10247	7433	2814	1149	879	270
141	102	39	2020-07-04	10388	7535	2853	1126	856	270
120	93	27	2020-07-05	10508	7628	2880	1063	815	248
145	113	32	2020-07-06	10653	7741	2912	1048	805	243
153	116	37	2020-07-07	10806	7857	2949	1044	797	247
146	113	33	2020-07-08	10952	7970	2982	1043	798	245
135	113	22	2020-07-09	11087	8083	3004	1007	779	228
121	87	34	2020-07-10	11208	8170	3038	961	737	224
118	89	29	2020-07-11	11326	8259	3067	938	724	214
116	88	28	2020-07-12	11442	8347	3095	934	719	215
139	104	35	2020-07-13	11581	8451	3130	928	710	218
117	88	29	2020-07-14	11698	8539	3159	892	682	210
108	85	23	2020-07-15	11806	8624	3182	854	654	200
122	99	23	2020-07-16	11928	8723	3205	841	640	201
106	81	25	2020-07-17	12034	8804	3230	826	634	192
97	73	24	2020-07-18	12131	8877	3254	805	618	187
97	66	31	2020-07-19	12228	8943	3285	786	596	190
94	69	25	2020-07-20	12322	9012	3310	741	561	180
122	90	32	2020-07-21	12444	9102	3342	746	563	183
96	74	22	2020-07-22	12540	9176	3364	734	552	182
86	58	28	2020-07-23	12626	9234	3392	698	511	187
113	81	32	2020-07-24	12739	9315	3424	705	511	194
91	68	23	2020-07-25	12830	9383	3447	699	506	193
79	58	21	2020-07-26	12909	9441	3468	681	498	183
110	87	23	2020-07-27	13019	9528	3491	697	516	181
79	72	7	2020-07-28	13098	9600	3498	654	498	156
101	79	22	2020-07-29	13199	9679	3520	659	503	156
81	68	13	2020-07-30	13280	9747	3533	654	513	141
92	68	24	2020-07-31	13372	9815	3557	633	500	133
111	87	24	2020-08-01	13483	9902	3581	653	519	134
77	60	17	2020-08-02	13560	9962	3598	651	521	130
75	60	15	2020-08-03	13635	10022	3613	616	494	122
83	66	17	2020-08-04	13718	10088	3630	620	488	132
81	61	20	2020-08-05	13799	10149	3650	600	470	130
82	50	32	2020-08-06	13881	10199	3682	601	452	149
85	67	18	2020-08-07	13966	10266	3700	594	451	143
62	48	14	2020-08-08	14028	10314	3714	545	412	133
63	43	20	2020-08-09	14091	10357	3734	531	395	136
63	44	19	2020-08-10	14154	10401	3753	519	379	140
67	53	14	2020-08-11	14221	10454	3767	503	366	137
70	50	20	2020-08-12	14291	10504	3787	492	355	137
65	51	14	2020-08-13	14356	10555	3801	475	356	119
85	63	22	2020-08-14	14441	10618	3823	475	352	123
74	53	21	2020-08-15	14515	10671	3844	487	357	130
74	50	24	2020-08-16	14589	10721	3868	498	364	134
82	58	24	2020-08-17	14671	10779	3892	517	378	139
71	55	16	2020-08-18	14742	10834	3908	521	380	141
81	66	15	2020-08-19	14823	10900	3923	532	396	136
74	63	11	2020-08-20	14897	10963	3934	541	408	133
88	70	18	2020-08-21	14985	11033	3952	544	415	129
67	50	17	2020-08-22	15052	11083	3969	537	412	125
64	43	21	2020-08-23	15116	11126	3990	527	405	122
84	61	23	2020-08-24	15200	11187	4013	529	408	121
70	51	19	2020-08-25	15270	11238	4032	528	404	124
68	50	18	2020-08-26	15338	11288	4050	515	388	127
66	52	14	2020-08-27	15404	11340	4064	507	377	130
66	41	25	2020-08-28	15470	11381	4089	485	348	137
62	49	13	2020-08-29	15532	11430	4102	480	347	133
64	50	14	2020-08-30	15596	11480	4116	480	354	126
85	66	19	2020-08-31	15681	11546	4135	481	359	122
69	55	14	2020-09-01	15750	11601	4149	480	363	117
60	47	13	2020-09-02	15810	11648	4162	472	360	112
70	62	8	2020-09-03	15880	11710	4170	476	370	106
62	51	11	2020-09-04	15942	11761	4181	472	380	92
65	52	13	2020-09-05	16007	11813	4194	475	383	92
61	43	18	2020-09-06	16068	11856	4212	472	376	96
59	47	12	2020-09-07	16127	11903	4224	446	357	89
64	48	16	2020-09-08	16191	11951	4240	441	350	91
59	42	17	2020-09-09	16250	11993	4257	440	345	95
74	65	9	2020-09-10	16324	12058	4266	444	348	96
64	52	12	2020-09-11	16388	12110	4278	446	349	97
52	42	10	2020-09-12	16440	12152	4288	433	339	94
68	53	15	2020-09-13	16508	12205	4303	440	349	91
75	53	22	2020-09-14	16583	12258	4325	456	355	101
59	47	12	2020-09-15	16642	12305	4337	451	354	97
56	41	15	2020-09-16	16698	12346	4352	448	353	95
52	40	12	2020-09-17	16750	12386	4364	426	328	98
61	55	6	2020-09-18	16811	12441	4370	423	331	92
62	55	7	2020-09-19	16873	12496	4377	433	344	89
58	47	11	2020-09-20	16931	12543	4388	423	338	85
58	46	12	2020-09-21	16989	12589	4400	406	331	75
53	47	6	2020-09-22	17042	12636	4406	400	331	69
62	51	11	2020-09-23	17104	12687	4417	406	341	65
66	50	16	2020-09-24	17170	12737	4433	420	351	69
69	58	11	2020-09-25	17239	12795	4444	428	354	74
50	36	14	2020-09-26	17289	12831	4458	416	335	81
54	40	14	2020-09-27	17343	12871	4472	412	328	84
51	39	12	2020-09-28	17394	12910	4484	405	321	84
78	62	16	2020-09-29	17472	12972	4500	430	336	94
66	53	13	2020-09-30	17538	13025	4513	434	338	96
52	43	9	2020-10-01	17590	13068	4522	420	331	89
61	50	11	2020-10-02	17651	13118	4533	412	323	89
63	52	11	2020-10-03	17714	13170	4544	425	339	86
51	41	10	2020-10-04	17765	13211	4554	422	340	82
62	51	11	2020-10-05	17827	13262	4565	433	352	81
61	49	12	2020-10-06	17888	13311	4577	416	339	77
58	50	8	2020-10-07	17946	13361	4585	408	336	72
51	43	8	2020-10-08	17997	13404	4593	407	336	71
61	49	12	2020-10-09	18058	13453	4605	407	335	72
57	45	12	2020-10-10	18115	13498	4617	401	328	73
58	45	13	2020-10-11	18173	13543	4630	408	332	76
64	49	15	2020-10-12	18237	13592	4645	410	330	80
51	38	13	2020-10-13	18288	13630	4658	400	319	81
55	45	10	2020-10-14	18343	13675	4668	397	314	83
62	53	9	2020-10-15	18405	13728	4677	408	324	84
54	47	7	2020-10-16	18459	13775	4684	401	322	79
55	43	12	2020-10-17	18514	13818	4696	399	320	79
44	35	9	2020-10-18	18558	13853	4705	385	310	75
60	46	14	2020-10-19	18618	13899	4719	381	307	74
65	53	12	2020-10-20	18683	13952	4731	395	322	73
56	43	13	2020-10-21	18739	13995	4744	396	320	76
58	46	12	2020-10-22	18797	14041	4756	392	313	79
55	45	10	2020-10-23	18852	14086	4766	393	311	82
45	38	7	2020-10-24	18897	14124	4773	383	306	77
46	38	8	2020-10-25	18943	14162	4781	385	309	76
52	41	11	2020-10-26	18995	14203	4792	377	304	73
47	35	12	2020-10-27	19042	14238	4804	359	286	73
65	52	13	2020-10-28	19107	14290	4817	368	295	73
62	47	15	2020-10-29	19169	14337	4832	372	296	76
45	37	8	2020-10-30	19214	14374	4840	362	288	74
47	41	6	2020-10-31	19261	14415	4846	364	291	73
51	40	11	2020-11-01	19312	14455	4857	369	293	76
59	41	18	2020-11-02	19371	14496	4875	376	293	83
51	35	16	2020-11-03	19422	14531	4891	380	293	87
46	38	8	2020-11-04	19468	14569	4899	361	279	82
55	49	6	2020-11-05	19523	14618	4905	354	281	73
55	43	12	2020-11-06	19578	14661	4917	364	287	77
56	44	12	2020-11-07	19634	14705	4929	373	290	83
40	30	10	2020-11-08	19674	14735	4939	362	280	82
42	34	8	2020-11-09	19716	14769	4947	345	273	72
45	38	7	2020-11-10	19761	14807	4954	339	276	63
47	41	6	2020-11-11	19808	14848	4960	340	279	61
48	34	14	2020-11-12	19856	14882	4974	333	264	69
57	43	14	2020-11-13	19913	14925	4988	335	264	71
35	29	6	2020-11-14	19948	14954	4994	314	249	65
58	49	9	2020-11-15	20006	15003	5003	332	268	64
46	38	8	2020-11-16	20052	15041	5011	336	272	64
34	31	3	2020-11-17	20086	15072	5014	325	265	60
45	40	5	2020-11-18	20131	15112	5019	323	264	59
43	37	6	2020-11-19	20174	15149	5025	318	267	51
51	43	8	2020-11-20	20225	15192	5033	312	267	45
34	25	9	2020-11-21	20259	15217	5042	311	263	48
53	46	7	2020-11-22	20312	15263	5049	306	260	46
61	49	12	2020-11-23	20373	15312	5061	321	271	50
50	41	9	2020-11-24	20423	15353	5070	337	281	56
38	27	11	2020-11-25	20461	15380	5081	330	268	62
54	44	10	2020-11-26	20515	15424	5091	341	275	66
60	51	9	2020-11-27	20575	15475	5100	350	283	67
29	26	3	2020-11-28	20604	15501	5103	345	284	61
58	51	7	2020-11-29	20662	15552	5110	350	289	61
46	38	8	2020-11-30	20708	15590	5118	335	278	57
48	36	12	2020-12-01	20756	15626	5130	333	273	60
38	33	5	2020-12-02	20794	15659	5135	333	279	54
47	34	13	2020-12-03	20841	15693	5148	326	269	57
42	36	6	2020-12-04	20883	15729	5154	308	254	54
43	32	11	2020-12-05	20926	15761	5165	322	260	62
45	38	7	2020-12-06	20971	15799	5172	309	247	62
56	40	16	2020-12-07	21027	15839	5188	319	249	70
39	33	6	2020-12-08	21066	15872	5194	310	246	64
54	42	12	2020-12-09	21120	15914	5206	326	255	71
42	36	6	2020-12-10	21162	15950	5212	321	257	64
51	42	9	2020-12-11	21213	15992	5221	330	263	67
33	26	7	2020-12-12	21246	16018	5228	320	257	63
30	22	8	2020-12-13	21276	16040	5236	305	241	64
53	44	9	2020-12-14	21329	16084	5245	302	245	57
56	48	8	2020-12-15	21385	16132	5253	319	260	59
62	47	15	2020-12-16	21447	16179	5268	327	265	62
58	53	5	2020-12-17	21505	16232	5273	343	282	61
39	35	4	2020-12-18	21544	16267	5277	331	275	56
44	36	8	2020-12-19	21588	16303	5285	342	285	57
58	51	7	2020-12-20	21646	16354	5292	370	314	56
48	39	9	2020-12-21	21694	16393	5301	365	309	56
58	48	10	2020-12-22	21752	16441	5311	367	309	58
51	37	14	2020-12-23	21803	16478	5325	356	299	57
54	42	12	2020-12-24	21857	16520	5337	352	288	64
53	46	7	2020-12-25	21910	16566	5344	366	299	67
71	59	12	2020-12-26	21981	16625	5356	393	322	71
57	49	8	2020-12-27	22038	16674	5364	392	320	72
45	38	7	2020-12-28	22083	16712	5371	389	319	70
40	30	10	2020-12-29	22123	16742	5381	371	301	70
39	33	6	2020-12-30	22162	16775	5387	359	297	62
59	44	15	2020-12-31	22221	16819	5402	364	299	65
55	46	9	2021-01-01	22276	16865	5411	366	299	67
61	54	7	2021-01-02	22337	16919	5418	356	294	62
60	46	14	2021-01-03	22397	16965	5432	359	291	68
69	58	11	2021-01-04	22466	17023	5443	383	311	72
64	52	12	2021-01-05	22530	17075	5455	407	333	74
77	62	15	2021-01-06	22607	17137	5470	445	362	83
83	68	15	2021-01-07	22690	17205	5485	469	386	83
65	52	13	2021-01-08	22755	17257	5498	479	392	87
66	54	12	2021-01-09	22821	17311	5510	484	392	92
60	44	16	2021-01-10	22881	17355	5526	484	390	94
81	64	17	2021-01-11	22962	17419	5543	496	396	100
70	54	16	2021-01-12	23032	17473	5559	502	398	104
70	51	19	2021-01-13	23102	17524	5578	495	387	108
89	68	21	2021-01-14	23191	17592	5599	501	387	114
81	54	27	2021-01-15	23272	17646	5626	517	389	128
91	66	25	2021-01-16	23363	17712	5651	542	401	141
76	52	24	2021-01-17	23439	17764	5675	558	409	149
90	71	19	2021-01-18	23529	17835	5694	567	416	151
108	74	34	2021-01-19	23637	17909	5728	605	436	169
111	83	28	2021-01-20	23748	17992	5756	646	468	178
